dataset,group,scene,crop,method,zone,solver_status,zone_geometry_available,finite_primary_metric_fraction,any_primary_metric_available,all_primary_metrics_available,primary_metric_count
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Dense,collapsed,False,0.0,False,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P95,Sparse,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Overall,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Dense,collapsed,False,0.0,False,False,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Corrected fixed P100,Sparse,collapsed,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P95,Sparse,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Overall,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Dense,exact,True,1.0,True,True,4
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image211,image211_obj3_d000442_300_063_2026-06-16_01-53-04,Retuned P100,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Overall,legacy,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Dense,legacy,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Sparse,legacy,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Dense,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Dense,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Sparse,exact,True,0.0,False,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Dense,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Dense,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Sparse,exact,True,0.0,False,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Overall,legacy,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Dense,legacy,True,0.0,False,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Sparse,legacy,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Dense,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Dense,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P100,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Dense,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P95,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Dense,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Retuned P100,Sparse,exact,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Overall,legacy,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Dense,legacy,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Legacy control,Sparse,legacy,True,0.25,True,False,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Overall,exact,True,1.0,True,True,4
NeurosporaMenadione,Neurospora crassa × menadione,image29,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Corrected fixed P95,Dense,exact,True,0.25,True,False,4
