dataset,group,scene,crop,method,zone,solver_status,predicted_radius_px,hand_reference_radius_px,absolute_drift_px,normalized_drift,within_one_ring,boundary_available,zone_geometry_available,retained_mask_fraction,parameter_json,evaluation_version
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P95,SparseZone,exact,217.882996124,230.592714542,12.7097184183,0.0551176061372,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P100,CoreZone,exact,72.0,244.624201583,172.624201583,0.748610822009,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P100,DenseZone,exact,208.0,243.393200388,35.3932003877,0.153487938498,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P100,SparseZone,exact,252.715254783,230.592714542,22.1225402406,0.095937724158,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy control,CoreZone,legacy,79.0840957004,199.060292374,119.976196674,0.517373853591,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy control,DenseZone,legacy,149.865996874,198.494332413,48.6283355388,0.209700174276,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy control,SparseZone,legacy,240.372465891,231.894588102,8.47787778888,0.0365591877682,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,CoreZone,exact,80.0,199.060292374,119.060292374,0.513424195658,False,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,DenseZone,exact,168.0,198.494332413,30.4943324128,0.13150083692,False,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,SparseZone,exact,224.243171579,231.894588102,7.65141652304,0.0329952354027,True,True,True,0.950008889357,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
