degree,scope,n_patches,median_dE00,q25,q75,iqr_dE00,mean_dE00,sd_dE00,n_permutations,frac_underdetermined,median_rank,median_cond,n_terms
2,same-image,22,2.82145850134,2.80537719715,2.86286059142,0.0574833942725,2.83990081437,0.0763077944773,30,0.0,6.0,54.6174832199,6
2,same-image,21,2.86195127947,2.80582528902,2.88460937995,0.0787840909294,2.85178783099,0.100866457378,30,0.0,6.0,54.2613284346,6
2,same-image,20,2.86165794555,2.81316271705,2.95329503916,0.140132322104,2.8867458152,0.172121877182,30,0.0,6.0,58.9949376301,6
2,same-image,19,2.87525130201,2.79063309365,2.98917390882,0.198540815164,2.92167172301,0.211254284591,30,0.0,6.0,61.0472745594,6
2,same-image,18,2.88307429674,2.771726357,3.12748502047,0.355758663473,2.98781749486,0.280623562118,30,0.0,6.0,61.8903596764,6
2,same-image,17,2.91881371107,2.80808116191,3.12534216123,0.31726099932,3.02233226497,0.310713843006,30,0.0,6.0,63.9904692009,6
2,same-image,16,3.0113266645,2.84864341456,3.26867542933,0.420032014766,3.12993836602,0.389078320162,30,0.0,6.0,65.1054407537,6
2,same-image,15,3.09653081196,2.90220405999,3.29320706364,0.391003003646,3.22160248805,0.455934776452,30,0.0,6.0,68.2913615071,6
2,same-image,14,3.11098705193,2.9309638497,3.66723457389,0.736270724187,3.37738914723,0.627943597916,30,0.0,6.0,71.6582710434,6
2,same-image,13,3.27063495461,3.09450014764,3.89463626467,0.800136117035,3.58984697903,0.777355541011,30,0.0,6.0,77.0672831586,6
2,same-image,12,3.46596938438,3.12453966184,3.95444783087,0.829908169038,3.68643298437,0.751748061463,30,0.0,6.0,80.1804108772,6
2,same-image,11,3.72677008179,3.36778351042,4.43815795144,1.07037444102,3.96336431179,0.871538466497,30,0.0,6.0,108.492120761,6
2,same-image,10,4.3701760413,3.63935884266,4.91480141357,1.27544257091,4.40518734237,0.968442179296,30,0.0,6.0,124.778526996,6
2,same-image,9,4.29603097244,3.90543125167,5.25943580074,1.35400454908,4.74255873546,1.38586846784,30,0.0,6.0,133.570418029,6
2,same-image,8,4.58093291392,3.98078861176,6.53008428401,2.54929567225,5.86139443407,3.31480063087,30,0.0,6.0,177.636685352,6
2,same-image,7,7.52558640596,4.3047602165,14.168744458,9.86398424151,9.54388605959,6.00816303053,30,0.0,6.0,407.103090362,6
2,same-image,6,13.2438171948,5.75325930118,20.973802378,15.2205430768,14.4092404916,8.94340510261,30,0.0,6.0,1235.18219895,6
3,cross-frame,24,3.03915363344,3.03915363344,3.03915363344,0.0,3.03915363344,0.0,30,0.0,13.0,95474.499094,13
3,cross-frame,23,3.12428412032,3.04451923501,3.2248367531,0.180317518096,3.19165462942,0.16684026934,30,0.0,13.0,98135.6622225,13
3,cross-frame,22,3.24277340669,3.12215332907,3.47720333261,0.355050003539,3.36860817577,0.360887085207,30,0.0,13.0,100283.459176,13
3,cross-frame,21,3.3383839812,3.180560891,3.6109932081,0.430432317094,3.45703383455,0.378607189977,30,0.0,13.0,108649.70036,13
3,cross-frame,20,3.45874642228,3.2356654833,4.02174153537,0.786076052066,3.68154924102,0.607024488436,30,0.0,13.0,123844.970414,13
