dataset,crop,short_crop,variant_key,variant_label,success,detected_pixels,containment,qualitative_recall,q95_enclosure_ratio,group_label,absolute_q95_error
NeurosporaMenadione,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj1,current,Current,True,39231,0.91593382784,0.965966827065,1.04644214732,Neurospora crassa | menadione,0.0464421473205
NeurosporaMenadione,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj1,unsharp,+ Unsharp,True,36077,0.953322061147,0.924567864728,1.01278302529,Neurospora crassa | menadione,0.0127830252866
NeurosporaMenadione,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj1,local_contrast,+ Local contrast,False,0,,0.0,,Neurospora crassa | menadione,
NeurosporaMenadione,Image29_obj1_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj1,monogenic_pc,+ Monogenic PC,True,36784,0.91874184428,0.908492163768,1.04589377777,Neurospora crassa | menadione,0.0458937777651
NeurosporaMenadione,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj2,current,Current,True,23201,0.841170639197,0.977070191249,1.0811436874,Neurospora crassa | menadione,0.081143687397
NeurosporaMenadione,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj2,unsharp,+ Unsharp,True,20438,0.921078383403,0.942475217783,1.02552134754,Neurospora crassa | menadione,0.0255213475432
NeurosporaMenadione,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj2,local_contrast,+ Local contrast,True,20936,0.886081390906,0.9287573846,1.05514087759,Neurospora crassa | menadione,0.055140877586
NeurosporaMenadione,Image29_obj2_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj2,monogenic_pc,+ Monogenic PC,True,19541,0.883782815618,0.864624011215,1.07491111025,Neurospora crassa | menadione,0.0749111102459
NeurosporaMenadione,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj3,current,Current,True,34045,0.824614480834,0.989182904056,1.1175335002,Neurospora crassa | menadione,0.1175335002
NeurosporaMenadione,Image29_obj3_d000273_300_006_2025-12-12_03-05-12_rgb,Image29_obj3,unsharp,+ Unsharp,True,30563,0.901842096653,0.971177900708,1.06557286855,Neurospora crassa | menadione,0.0655728685535
