,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
66,67,922.808365759,492.076848249,895,467,949,514,5,2,62,1028.0,378.620852549
67,68,921.993555317,143.485499463,897,120,948,167,5,0,60,1862.0,733.878137647
68,69,934.916666667,636.661111111,927,631,944,644,5,3,63,180.0,62.8901705882
69,70,1093.04833647,1930.76993095,1056,1907,1131,1960,6,11,83,3186.0,1330.01081294
70,71,1099.89346386,966.472790095,1066,935,1134,999,6,5,77,3473.0,1546.08575765
71,72,1100.95369519,1449.89389758,1068,1419,1135,1482,6,8,80,3261.0,1468.35320627
72,73,1101.63012422,1771.83664596,1069,1742,1136,1803,6,10,82,3220.0,1398.51625412
73,74,1101.31859455,1288.78997236,1073,1262,1131,1316,6,7,79,2533.0,1071.63450157
74,75,1101.91817496,1127.48944193,1074,1100,1132,1156,6,6,78,2652.0,1124.45384471
75,76,1100.22944362,645.047759724,1076,620,1127,671,6,3,75,2031.0,839.227973333
76,77,1100.33822502,151.477288609,1078,131,1125,172,6,0,72,1431.0,492.403533333
77,78,1106.25383305,317.818852924,1082,293,1126,350,6,1,73,1761.0,703.349018824
78,79,1114.20917359,1610.75365757,1085,1584,1145,1638,6,9,81,2529.0,1051.11079725
79,80,1258.16051613,1927.74787097,1219,1897,1300,1961,7,11,95,3875.0,1705.64869294
80,81,1267.59112092,964.457198921,1232,930,1304,1000,7,5,89,4077.0,1828.05982314
81,82,1263.69337748,140.582450331,1233,113,1296,172,7,0,84,3020.0,1228.55502784
82,83,1268.34358047,1448.41681736,1235,1420,1304,1479,7,8,92,3318.0,1503.93638039
83,84,1270.37715223,1129.91992348,1236,1100,1307,1162,7,6,90,3659.0,1645.79223608
84,85,1266.51457906,1284.75400411,1236,1260,1297,1312,7,7,91,2435.0,1053.4793549
85,86,1270.01845542,1772.55536627,1236,1742,1307,1804,7,10,94,3522.0,1558.42603922
86,87,1271.12301691,485.729778934,1237,452,1306,521,7,2,86,3845.0,1696.23222824
87,88,1264.70084485,805.192780338,1237,775,1298,835,7,4,88,2604.0,1114.11523686
88,89,1268.72093023,1611.61518895,1237,1586,1305,1639,7,9,93,2752.0,1149.67963569
89,90,1271.30280047,323.593932322,1239,290,1305,357,7,1,85,3428.0,1448.70443725
90,91,1270.59078169,645.920274058,1240,615,1303,678,7,3,87,3211.0,1392.00164235
0,1,213.180619879,702.447096544,185,674,244,733,0,3,3,2807.0,1099.38503569
1,2,220.024314391,1683.71783998,186,1653,257,1714,0,9,9,3537.0,1439.87026549
2,3,220.595788242,375.306229892,187,344,253,409,0,1,1,3419.0,1394.06580039
3,4,222.575839921,1029.28433794,187,995,260,1064,0,5,5,4048.0,1702.9601302
4,5,220.855226209,551.062402496,189,522,253,583,0,2,2,3205.0,1309.44650392
5,6,226.270687936,1845.38185444,189,1813,266,1878,0,10,10,4012.0,1667.53441686
6,7,217.05932971,1990.66802536,191,1966,246,2015,0,11,11,2208.0,859.835685882
7,8,224.730277518,1521.12690988,192,1491,258,1550,0,8,8,3207.0,1266.72847333
8,9,226.200367647,868.023897059,196,837,259,899,0,4,4,3264.0,1320.14247647
9,10,234.029599388,193.586629242,198,160,270,229,0,0,0,3919.0,1640.70339451
10,11,224.400540054,1194.85328533,198,1169,253,1219,0,6,6,2222.0,866.614447059
11,12,232.857293035,1358.9455979,198,1326,269,1392,0,7,7,3805.0,1582.69162784
12,13,370.394379246,705.381717109,339,675,404,737,1,3,15,3238.0,1398.71520235
13,14,368.052750565,1357.07083647,339,1330,399,1385,1,7,19,2654.0,1181.78154824
14,15,368.819333816,1520.41202028,339,1493,400,1549,1,8,20,2762.0,1205.02614392
15,16,370.025885559,1195.16995913,340,1167,402,1225,1,6,18,2936.0,1297.81244706
16,17,371.15902965,2011.3328841,340,1982,403,2042,1,11,23,2968.0,1312.09105882
17,18,371.171215881,868.550868486,341,840,403,898,1,4,16,2821.0,1218.82811843
18,19,369.412941176,1684.62039216,342,1658,399,1713,1,9,21,2550.0,1115.66913529
19,20,372.54036635,380.603459973,343,351,403,411,1,1,13,2948.0,1276.93661333
20,21,370.411908646,1031.76712887,343,1006,401,1059,1,5,17,2452.0,1017.57161137
