DetectorLabel,GridSection,ZonesComputed,CoreEndRadius,OuterRadius,Sigma8_ValidPixels,Sigma8_Median,Sigma8_P90,Sigma8_P95,Sigma8_RawPeak,Sigma8_FractionAbove3,Sigma16_ValidPixels,Sigma16_Median,Sigma16_P90,Sigma16_P95,Sigma16_RawPeak,Sigma16_FractionAbove3,P95PersistenceRatio16to8
19,18,True,32.0165928406,122.954984971,13608,0.646755627395,2.26193737303,3.21414770372,14.2545481833,0.0594503233392,13524,0.350477658385,0.956711413537,1.26258745248,4.92069373354,0.00539781129843,0.392821851659
20,19,True,20.2655263155,120.478817115,10994,0.810550130652,2.5473418682,3.49153158602,16.4518381793,0.0729488812079,10675,0.445434572478,1.33461555105,1.83281518041,6.16726899757,0.0121779859485,0.52493157666
21,20,True,41.521548651,114.540638503,16024,0.647392731765,2.00420517047,2.97054288511,14.8266798207,0.0493010484274,16115,0.380095268989,0.863198445859,1.06063354694,3.77764263468,0.00105491777847,0.35705040727
22,21,True,48.8887628541,168.72652508,25772,0.560526468453,2.04091773054,2.86314439437,16.6308944188,0.0454757100729,25450,0.30622318009,1.02138400944,1.3425015617,3.875849191,0.00137524557957,0.468890624006
23,22,True,26.4971842424,103.338315453,6311,0.688574039489,2.67944221549,4.41089772965,19.0401731462,0.0844557122485,5789,0.396179129842,1.03200682034,1.45889892007,6.02984162397,0.00500950077734,0.330748752178
24,23,True,41.8844915427,167.33156778,20934,0.82011723816,2.74658839763,4.01755915539,17.2432071715,0.085554600172,19732,0.4849562499,1.74708925913,2.31326846177,6.62291778781,0.0165720656801,0.575789521024
25,24,True,61.5463276306,110.746285344,3854,0.806760968246,2.8082325426,3.91100848862,14.3549276081,0.0915931499741,3792,0.698078071994,1.46258730619,1.81552678037,4.2349124705,0.0110759493671,0.464209368415
26,25,True,10.4436063331,37.3044063492,2312,0.696371129968,2.54664033128,4.19366943997,12.4137284971,0.0834775086505,2352,0.305025486438,1.03951505957,1.47912787089,2.46665195794,0.0,0.352704926334
27,26,True,22.1688962762,61.4765221439,3404,0.757424919397,2.52758173968,4.20111372708,13.1344594057,0.0775558166863,2832,0.485332397938,1.1128556408,1.4191816403,3.75604437334,0.00176553672316,0.337810812203
28,27,True,37.8955108077,60.6424176253,853,0.37533746821,1.43332345339,2.05109496515,10.9979425089,0.0269636576788,861,0.33654121554,0.883924990032,1.12409362379,1.58477105822,0.0,0.548045625816
29,28,True,48.6071149814,108.17777614,4863,0.676620055287,1.95460384492,2.84433361277,12.3789765928,0.044828295291,4803,0.344094268929,1.07005073227,1.43451866235,4.48428447076,0.00728711222153,0.504342618568
30,29,True,21.8393690654,123.371429633,13479,0.680761197447,2.00380582753,3.00731039925,15.3596112167,0.0503004673937,13212,0.383617805725,1.12589953217,1.47355094453,5.13567562093,0.00454132606721,0.48998964154
31,30,True,85.5581301554,136.122455139,7174,0.669315083858,2.18597291288,2.89789577336,11.9289263464,0.0464176191804,7172,0.389234672548,1.04308238814,1.35045930135,3.93654648608,0.00153374233129,0.466013758592
32,31,True,50.0685493657,175.436842554,21932,0.653765127786,2.39780975774,3.37004986043,17.4753023779,0.0645175998541,21047,0.40437052718,1.32125954789,1.75788021646,6.67552842473,0.00936000380102,0.521618459446
33,32,True,41.0173702835,134.603466216,12198,0.804982163533,2.36496521412,3.20631802134,16.2946410158,0.0609936055091,12121,0.526054866356,1.44077703133,1.84185634041,6.99253018365,0.00742512993977,0.574445930862
34,33,True,44.2227808175,141.307167614,6142,0.559210013317,2.55252492176,3.7393598366,19.0146746992,0.0789645066754,6066,0.302172963924,1.02676334173,1.41468483955,6.76001025091,0.00890207715134,0.378322734739
35,34,True,55.5299654446,127.118671923,3890,0.719011258891,2.1581854455,2.7753026565,8.32790729652,0.0439588688946,3799,0.434989863691,1.2088385477,1.6240013459,3.628987087,0.0018425901553,0.585161889314
36,35,True,37.746715295,86.0109190433,4435,0.670011253016,1.93434901851,2.70769470485,10.2064221944,0.0387824126268,4484,0.496576715316,1.5514212261,2.06935538545,5.91884306011,0.0127118644068,0.76424989189
37,36,True,0.0,54.6927231833,0,,,,,,0,,,,,,
38,37,True,39.5547623331,54.3209203171,730,0.68527509306,1.87736150508,1.98424675106,5.57109705364,0.0246575342466,782,0.161052619269,0.416991804115,0.433280632643,0.453855782641,0.0,0.218360258073
39,38,True,49.93148404,106.439365538,3863,0.434470763939,2.03274915918,2.96685038313,15.105901522,0.0481491069117,3803,0.184094987001,0.991505393535,1.37309561871,5.28359627302,0.0120957139101,0.462812559243
40,39,True,131.52701997,131.52701997,0,,,,,,0,,,,,,
41,40,True,58.2592218418,77.3296616996,488,0.171271283442,0.493276096395,0.584482614643,0.663140437765,0.0,488,0.0547222572352,0.342357015827,0.489277343672,0.584265478635,0.0,0.837111885648
42,41,True,26.8633206852,150.111218178,29447,0.791249621207,2.48209496439,3.49386526001,16.653428198,0.0712466465175,28855,0.376506090863,1.08960547682,1.41874578427,5.92328392809,0.00596083867614,0.406067686841
43,42,True,41.1761719011,142.149253776,15321,0.775679701475,2.64824496161,3.41460591439,17.2538215614,0.0694471640232,15183,0.497083440606,1.40741314144,1.72085500344,6.34636000204,0.0051373246394,0.503968846358
44,43,True,72.1451457362,145.291153358,4599,0.459852906711,1.52151547093,1.89426199629,5.83377055826,0.018047401609,4599,0.347547861212,0.90627154529,1.07956760583,2.59586067168,0.0,0.569914620016
45,44,True,57.1014706148,138.777153935,11477,0.600198812782,1.68096656327,2.33421839369,8.12689489226,0.0311928204235,11392,0.456664493338,0.926659223658,1.05978502249,5.21089564124,0.00254564606742,0.454021365506
46,45,True,45.093417676,86.7746202992,2985,0.603609998997,1.92000328682,2.47416137771,11.0925181988,0.0318257956449,2894,0.290439312876,1.32415235597,1.90395814641,2.50518167802,0.0,0.769536766502
47,46,True,39.3793643094,102.676511536,8601,0.801914190669,2.80261898534,3.92656889344,13.0419238445,0.086734100686,8098,0.452549242851,1.25947515756,1.54973536472,3.52636664964,0.00209928377377,0.394679275159
48,47,True,48.3322546344,144.824810167,8877,0.670324442157,2.349809716,3.15635403057,12.7166690791,0.0566632871466,8620,0.305764199211,1.16213117023,1.65152517201,6.85977808952,0.00359628770302,0.523238254017
49,48,True,52.6254828982,184.742240557,25454,0.726296593911,2.62958919048,3.88210609837,17.3667399575,0.0800267148582,24909,0.368667560135,1.1201664414,1.53375651644,5.45471265652,0.00726644987755,0.39508361636
