Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,86,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,87,2,matched,45.0,11.1159717936,-7.20752074807,-8.66621036866,-7.20752074807,-6.84751484477,-5.74883112748,8.66621036866,0.259203295058
R3C4,reciprocal_one_to_one,88,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,89,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,90,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,91,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,92,2,matched,51.0,8.97062798241,4.85132642344,5.07844709941,4.85132642344,17.7924797384,4.62420574747,5.07844709941,0.143066748291
R3C4,reciprocal_one_to_one,93,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,94,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,95,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,96,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,97,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,98,2,matched,57.0,8.78110373055,-19.0333423978,-12.7300317454,-19.0333423978,37.7648694651,-25.3366530503,25.3366530503,0.986377213769
R3C4,reciprocal_one_to_one,99,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,100,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,101,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,102,2,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,103,2,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,104,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,105,2,matched,62.0,7.85266726414,2.83040717122,8.49995440792,2.83040717122,-57.3646880792,-2.83914006548,8.49995440792,0.0845706746599
R3C4,reciprocal_one_to_one,106,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,107,2,matched,65.0,7.25150965026,-13.0431682905,-5.74165462314,-13.0431682905,-78.4490741878,-20.3446819578,20.3446819578,0.480349446957
R3C4,reciprocal_one_to_one,108,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,109,2,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,110,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,111,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,112,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,113,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,114,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,115,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,116,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,117,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,118,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,119,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,120,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,121,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,122,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,123,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,124,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,125,3,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,126,3,no_candidate,,,,,,,,,
